id,price_normalized,price,price_per_bathroom,price_per_bedroom,price_per_person,beds,accommodates,bedrooms,estimated_revenue_l365d,value_density,bathrooms_numeric,neighbourhood_target_encoded,property_type_frequency,review_to_capacity_ratio,property_type_label,neighbourhood_frequency,host_portfolio_intensity,space_efficiency,host_years,estimated_occupancy_l365d,space_per_person,occupancy_rate,availability_rate,availability_365,review_scores_value,booking_flexibility_score
930539258556570508,0.2780269058295964,197.0,197.0,197.0,98.5,1.0,2,1.0,21670.0,0.1319796954314721,1.0,1.1305970149253732,0.1206307754118119,13.0,10,0.0269184411410204,0.5,1.0,11.101984941820673,110,0.5,0.915068493150685,0.084931506849315,31,4.96,0.3333333333333333
950893181432035685,0.2272047832585949,163.0,163.0,81.5,32.6,2.0,5,2.0,41565.0,0.6073619631901841,1.0,1.134020618556701,0.0419847328244274,19.8,12,0.0048714343109682,0.6,1.0,11.52908966461328,255,0.4,0.1808219178082191,0.8191780821917808,299,4.76,0.3333333333333333
1209689731115010295,0.2451420029895366,175.0,70.0,43.75,50.0,2.0,12,4.0,12672.0,0.0628571428571428,2.5,0.9888888888888888,0.2494977902772197,0.9166666666666666,14,0.0271193250301325,1.25,0.5,9.831622176591376,48,0.3333333333333333,1.0,0.0,0,5.0,0.3333333333333333
1061722409396700309,0.1569506726457399,116.0,116.0,116.0,29.0,2.0,4,1.0,19488.0,0.4482758620689655,1.0,1.3391812865497077,0.2494977902772197,13.0,14,0.0085877862595419,0.25,2.0,8.837782340862423,168,0.25,0.7863013698630137,0.2136986301369863,78,4.83,0.5
742019155503446828,0.8609865470852018,587.0,293.5,195.66666666666663,73.375,6.0,8,3.0,149685.0,0.2436115843270868,2.0,1.1923076923076923,0.2494977902772197,17.875,14,0.0078344716753716,0.625,2.0,6.168377823408624,255,0.375,0.2164383561643835,0.7835616438356164,286,4.87,0.25
1366335216687625393,0.0582959641255605,50.0,33.333333333333336,50.0,25.0,1.0,2,1.0,9000.0,0.06,1.5,1.1236559139784943,0.0874849337083165,1.5,37,0.0093411008437123,15.5,1.0,1.4236824093086926,180,0.5,0.0904109589041095,0.9095890410958904,332,4.67,0.032258064516129
1463982855706175080,0.5964125560538116,410.0,102.5,82.0,25.625,10.0,16,5.0,12300.0,0.0121951219512195,4.0,0.756811301715439,0.2494977902772197,0.3125,14,0.049768983527521,3.0625,2.0,10.18754277891855,30,0.3125,0.1013698630136986,0.8986301369863013,328,5.0,0.3333333333333333
17608260,0.1584454409566517,117.0,117.0,117.0,23.4,4.0,5,1.0,5616.0,1.982905982905983,1.0,0.6168831168831169,0.2494977902772197,46.4,14,0.0850743270389714,7.4,4.0,13.533196440793978,48,0.2,0.0630136986301369,0.936986301369863,342,4.52,0.5
19747356,0.1718983557548579,126.0,126.0,126.0,42.0,2.0,3,1.0,32130.0,2.1507936507936507,1.0,0.5343137254901961,0.0874849337083165,90.33333333333331,37,0.040980313378867,1.3333333333333333,2.0,8.4435318275154,255,0.3333333333333333,0.1342465753424657,0.8657534246575342,316,4.87,0.5
49634228,0.3258594917787742,229.0,229.0,229.0,57.25,2.0,4,1.0,58395.0,3.1746724890829694,1.0,0.8403908794788274,0.002209722780233,181.75,47,0.0154178384893531,3.25,2.0,4.621492128678987,255,0.25,0.021917808219178,0.978082191780822,357,4.75,0.5
1316185503085905273,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,0.0,1.0,0.6168831168831169,0.0708115709120128,0.0,51,0.0850743270389714,11.5,2.0,0.9938398357289528,0,0.5,1.0,0.0,0,4.79,0.5
1218780498082795688,0.3258594917787742,229.0,229.0,113.0,114.5,2.0,2,0.0,0.0,0.0,1.0,0.7483388704318937,0.2372940940136601,0.0,18,0.06046605062274,36.5,1.0,1.7522245037645447,0,0.0,0.8465753424657534,0.1534246575342465,56,4.79,0.3333333333333333
872548616222117474,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,0.0,1.0,0.8403908794788274,0.1206307754118119,0.0,10,0.0154178384893531,1.0,2.0,12.057494866529774,0,0.5,1.0,0.0,0,4.79,0.03125
49653586,0.3094170403587444,218.0,72.66666666666667,54.5,24.22222222222222,6.0,9,4.0,54064.0,0.0275229357798165,3.0,0.8820754716981132,0.2494977902772197,0.6666666666666666,14,0.0106468461229409,0.1111111111111111,1.5,11.641341546885696,248,0.4444444444444444,0.7315068493150685,0.2684931506849315,98,4.83,0.03125
40674624,0.5650224215246636,389.0,194.5,194.5,48.625,4.0,8,2.0,23340.0,0.0411311053984575,2.0,0.8214285714285714,0.2372940940136601,2.0,18,0.0014061872237846,0.5,2.0,10.595482546201232,60,0.25,0.1808219178082191,0.8191780821917808,299,4.63,0.032258064516129
1381445359220773269,0.2840059790732436,201.0,100.5,100.5,50.25,2.0,4,2.0,0.0,0.0,2.0,0.756811301715439,0.2372940940136601,0.0,18,0.049768983527521,0.5,1.0,5.5277207392197125,0,0.5,0.6575342465753424,0.3424657534246575,125,4.79,0.03125
3617672,0.1599402092675635,118.0,118.0,118.0,59.0,1.0,2,1.0,0.0,0.7457627118644068,1.0,1.1787709497206704,0.0009039775010044,44.0,26,0.0089895540377661,5.5,1.0,11.441478439425053,0,0.5,0.7561643835616438,0.2438356164383561,89,4.76,0.03125
51230022,0.2227204783258595,160.0,80.0,40.0,10.0,7.0,16,4.0,3840.0,0.5625,2.0,1.25,0.2494977902772197,5.625,14,0.0006026516673362,2.3125,1.75,10.521560574948666,24,0.25,0.547945205479452,0.4520547945205479,165,4.28,0.3333333333333333
610395554873328514,0.3572496263079223,250.0,125.0,125.0,62.5,2.0,4,2.0,0.0,0.004,2.0,0.9345794392523364,0.0186319807151466,0.25,21,0.0053736440337484,6.5,1.0,10.54072553045859,0,0.5,0.0,1.0,365,5.0,0.03125
34123156,0.1016442451420029,79.0,79.0,79.0,79.0,1.0,1,1.0,0.0,0.050632911392405,1.0,0.8390804597701149,0.0137103254319003,4.0,30,0.008738449176376,9.0,1.0,10.160164271047227,0,1.0,0.0027397260273972,0.9972602739726028,364,5.0,0.0027322404371584
1403111792518392312,0.1569506726457399,116.0,58.0,38.666666666666664,19.333333333333332,0.0,6,3.0,7656.0,0.0948275862068965,2.0,1.3391812865497077,0.2494977902772197,1.8333333333333333,14,0.0085877862595419,5.666666666666667,0.0,3.5509924709103355,66,0.5,0.0493150684931506,0.9506849315068492,347,4.82,0.3333333333333333
20815687,0.3557548579970104,249.0,124.5,124.5,41.5,2.0,6,2.0,1494.0,0.4016064257028112,2.0,0.756811301715439,0.1206307754118119,16.666666666666668,10,0.049768983527521,1.6666666666666667,1.0,9.17180013689254,6,0.3333333333333333,0.1178082191780822,0.8821917808219178,322,4.68,0.25
842164868143021380,0.6636771300448431,455.0,182.0,151.66666666666666,75.83333333333333,3.0,6,3.0,32760.0,0.0395604395604395,2.5,0.6168831168831169,0.2494977902772197,3.0,14,0.0850743270389714,47.166666666666664,1.0,13.388090349075975,72,0.5,0.4794520547945205,0.5205479452054794,190,4.78,0.25
39777730,0.1046337817638266,81.0,81.0,81.0,40.5,1.0,2,1.0,11583.0,0.7407407407407407,1.0,0.871404399323181,0.0095419847328244,30.0,20,0.0296805946163117,4.5,1.0,6.119096509240246,143,0.5,0.3315068493150685,0.6684931506849315,244,4.7,0.1666666666666666
40704138,0.3064275037369208,216.0,86.4,72.0,36.0,3.0,6,3.0,7776.0,0.1851851851851851,2.5,0.5967741935483871,0.2494977902772197,6.666666666666667,14,0.0031137002812374,30.333333333333332,1.0,8.900752908966462,36,0.5,0.021917808219178,0.978082191780822,357,3.9,0.3333333333333333
20017830,0.2720478325859491,193.0,193.0,96.5,48.25,3.0,4,2.0,49215.0,1.1709844559585492,1.0,0.9659863945578232,0.2494977902772197,56.5,14,0.0295299316994777,0.25,1.5,11.203285420944558,255,0.5,0.5753424657534246,0.4246575342465753,155,4.87,0.3333333333333333
35472694,0.2451420029895366,175.0,87.5,58.333333333333336,50.0,2.0,10,3.0,12672.0,1.4742857142857142,2.0,1.6326530612244898,0.2372940940136601,25.8,18,0.0024608276416231,0.2,0.6666666666666666,8.695414099931554,60,0.3,1.0,0.0,0,4.74,0.032258064516129
1891351,0.2585949177877429,184.0,184.0,184.0,92.0,1.0,2,1.0,46920.0,3.494565217391304,1.0,0.9888888888888888,0.2372940940136601,321.5,18,0.0271193250301325,12.5,1.0,12.098562628336756,255,0.5,0.1095890410958904,0.8904109589041096,325,4.8,0.3333333333333333
1432067170721681209,0.2451420029895366,175.0,87.5,58.333333333333336,50.0,2.0,8,3.0,12672.0,0.0,2.0,0.5343137254901961,0.2494977902772197,0.0,14,0.040980313378867,16.375,0.6666666666666666,2.847364818617385,0,0.375,0.1972602739726027,0.8027397260273973,293,4.79,0.5
6364563,0.6517189835575485,447.0,223.5,149.0,34.38461538461539,8.0,13,3.0,80460.0,0.6465324384787472,2.0,0.6168831168831169,0.2494977902772197,22.23076923076923,14,0.0850743270389714,1.0769230769230769,2.6666666666666665,12.657084188911703,180,0.2307692307692307,0.1095890410958904,0.8904109589041096,325,4.76,0.3333333333333333
44249704,0.2451420029895366,175.0,175.0,87.5,50.0,2.0,4,2.0,12672.0,0.4914285714285714,1.0,1.2830188679245282,0.0311872237846524,21.5,13,0.0053234230614704,0.25,1.0,7.162217659137577,42,0.5,1.0,0.0,0,4.9,0.3333333333333333
1471796243312004498,0.14050822122571,105.0,105.0,105.0,26.25,2.0,4,1.0,3780.0,0.0571428571428571,1.0,1.23963133640553,0.0121534752912816,1.5,49,0.010897950984331,1.25,2.0,10.026009582477757,36,0.25,0.0410958904109589,0.958904109589041,350,5.0,0.5
43271982,0.0642750373692077,54.0,18.0,54.0,27.0,2.0,2,1.0,0.0,0.0,3.0,0.8620689655172413,0.0874849337083165,0.0,37,0.0116512655685014,61.5,2.0,6.50239561943874,0,0.5,0.0,1.0,365,4.79,0.0027322404371584
1322145961737687919,0.5455904334828101,376.0,250.66666666666663,188.0,94.0,3.0,4,2.0,18048.0,0.0212765957446808,1.5,0.5343137254901961,0.2494977902772197,2.0,14,0.040980313378867,0.25,1.5,11.75359342915811,48,0.5,0.0904109589041095,0.9095890410958904,332,5.0,0.3333333333333333
1046463386974162474,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,3,1.0,12672.0,0.0057142857142857,1.0,0.7483388704318937,0.2372940940136601,0.3333333333333333,18,0.06046605062274,0.6666666666666666,2.0,11.71252566735113,0,0.3333333333333333,0.5260273972602739,0.473972602739726,173,5.0,0.032258064516129
1413091367095057784,0.1718983557548579,126.0,126.0,126.0,42.0,1.0,3,1.0,2268.0,0.0238095238095238,1.0,0.756811301715439,0.2372940940136601,1.0,18,0.049768983527521,12.666666666666666,1.0,8.032854209445585,18,0.3333333333333333,0.3397260273972602,0.6602739726027397,241,5.0,0.25
30558579,0.3318385650224215,233.0,93.2,58.25,23.3,8.0,10,4.0,15378.0,0.6437768240343348,2.5,0.756811301715439,0.2494977902772197,15.0,14,0.049768983527521,0.1,2.0,8.37782340862423,66,0.4,0.6383561643835617,0.3616438356164383,132,4.73,0.3333333333333333
49636107,0.491778774289985,340.0,170.0,85.0,42.5,4.0,8,4.0,48620.0,0.2176470588235294,2.0,1.5302013422818792,0.2494977902772197,9.25,14,0.0074829248694254,0.125,1.0,4.59958932238193,143,0.5,0.2876712328767123,0.7123287671232876,260,4.69,0.2
788267031766634490,0.2092675635276532,151.0,151.0,75.5,50.333333333333336,2.0,3,2.0,9060.0,0.0132450331125827,1.0,0.8467153284671532,0.0186319807151466,0.6666666666666666,21,0.0068802732020891,0.6666666666666666,1.0,2.967830253251198,60,0.6666666666666666,0.5917808219178082,0.4082191780821917,149,5.0,0.032258064516129
1112291538930801787,0.2660687593423019,189.0,189.0,189.0,94.5,0.0,2,1.0,1134.0,0.0476190476190476,1.0,0.8820754716981132,0.0311872237846524,4.5,13,0.0106468461229409,1.5,0.0,3.512662559890486,6,0.5,0.9315068493150684,0.0684931506849315,25,4.78,0.25
53660857,0.2451420029895366,175.0,43.75,58.333333333333336,50.0,2.0,6,3.0,12672.0,0.0857142857142857,4.0,1.0076923076923077,0.2494977902772197,2.5,14,0.013057452792286,0.1666666666666666,0.6666666666666666,11.827515400410675,11,0.5,1.0,0.0,0,4.8,0.2
15741163,0.4170403587443946,290.0,145.0,145.0,48.333333333333336,4.0,6,2.0,36540.0,0.4172413793103448,2.0,0.6168831168831169,0.2494977902772197,20.166666666666668,14,0.0850743270389714,1.0,2.0,9.451060917180014,126,0.3333333333333333,0.3452054794520548,0.6547945205479452,239,4.88,0.25
33361435,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,1,1.0,12672.0,0.0914285714285714,1.0,0.8,0.0874849337083165,16.0,37,0.0010044194455604,2.0,2.0,14.127310061601642,0,1.0,0.978082191780822,0.021917808219178,8,5.0,0.03125
678256439674845108,0.5067264573991032,350.0,350.0,350.0,87.5,2.0,4,1.0,0.0,0.0,1.0,0.7483388704318937,0.0018079550020088,0.0,22,0.06046605062274,11.75,2.0,6.792607802874743,0,0.25,0.5068493150684932,0.4931506849315068,180,4.79,0.25
1282987096985163532,0.2451420029895366,175.0,58.333333333333336,58.333333333333336,50.0,2.0,10,3.0,12672.0,0.0,3.0,0.928030303030303,0.1206307754118119,0.0,10,0.0132583366813981,441.0,0.6666666666666666,3.876796714579056,0,0.3,0.5397260273972603,0.4602739726027397,168,4.79,0.5
38673655,0.210762331838565,152.0,152.0,152.0,30.4,3.0,5,1.0,23712.0,1.4013157894736843,1.0,0.756811301715439,0.2372940940136601,42.6,18,0.049768983527521,1.4,3.0,7.490759753593429,156,0.2,0.3780821917808219,0.6219178082191781,227,4.93,0.25
34412659,0.0941704035874439,74.0,74.0,74.0,37.0,1.0,2,1.0,8880.0,0.1756756756756756,1.0,1.2664670658682635,0.0419847328244274,6.5,12,0.0167738047408597,0.5,1.0,13.3305954825462,120,0.5,0.6082191780821918,0.3917808219178082,143,4.69,0.032258064516129
31127506,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,3,1.0,12672.0,0.0628571428571428,1.0,0.928030303030303,0.0095419847328244,3.6666666666666665,20,0.0132583366813981,104.66666666666669,2.0,9.598904859685147,22,0.3333333333333333,1.0,0.0,0,4.64,0.3333333333333333
733284680759583410,0.7608370702541106,520.0,520.0,113.0,130.0,2.0,4,0.0,0.0,0.0,1.0,0.9192825112107624,0.2372940940136601,0.0,18,0.0111992768179991,191.25,1.0,11.79192334017796,0,0.0,0.0,1.0,365,4.79,0.03125
17879509,0.6756352765321375,463.0,231.5,154.33333333333334,46.3,5.0,10,3.0,55560.0,0.1684665226781857,2.0,0.9659863945578232,0.1206307754118119,7.8,10,0.0295299316994777,10.2,1.6666666666666667,8.873374401095141,120,0.3,0.2904109589041095,0.7095890410958904,259,4.51,0.032258064516129
1022515990238884262,0.624813153961136,429.0,78.0,85.8,71.5,6.0,6,5.0,0.0,0.0046620046620046,5.5,1.153225806451613,0.2494977902772197,0.3333333333333333,14,0.0062274005624748,0.3333333333333333,1.2,2.083504449007529,0,0.8333333333333334,0.3835616438356164,0.6164383561643836,225,5.0,0.03125
1004455282034756741,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,0.0057142857142857,1.0,1.2234042553191489,0.2494977902772197,0.5,14,0.0047207713941341,0.5,2.0,7.216974674880219,62,0.5,1.0,0.0,0,5.0,0.03125
1488612938637308209,0.2556053811659193,182.0,121.33333333333331,60.666666666666664,22.75,4.0,8,3.0,4004.0,0.0109890109890109,1.5,1.2664670658682635,0.0874849337083165,0.25,37,0.0167738047408597,0.25,1.3333333333333333,1.349760438056126,22,0.375,0.410958904109589,0.589041095890411,215,5.0,0.5
8627179,0.2451420029895366,175.0,175.0,87.5,50.0,2.0,4,2.0,12672.0,0.0971428571428571,1.0,0.871404399323181,0.2372940940136601,4.25,18,0.0296805946163117,0.25,1.0,12.331279945242985,0,0.5,1.0,0.0,0,4.5,0.032258064516129
1451307683763266618,0.3482810164424514,244.0,244.0,122.0,61.0,2.0,4,2.0,0.0,0.0,1.0,0.7368421052631579,0.1206307754118119,0.0,10,0.0019083969465648,13.5,1.0,2.7816563997262147,0,0.5,0.2438356164383561,0.7561643835616438,276,4.79,0.03125
20278402,0.8953662182361734,610.0,203.33333333333337,101.66666666666669,38.125,16.0,16,6.0,14640.0,0.1442622950819672,3.0,1.145077720207254,0.2494977902772197,5.5,14,0.0096926476496584,2.3125,2.6666666666666665,14.2258726899384,24,0.375,0.0821917808219178,0.9178082191780822,335,4.68,0.3333333333333333
651727725817620172,0.1330343796711509,100.0,100.0,100.0,50.0,1.0,2,1.0,25500.0,0.76,1.0,1.2664670658682635,0.0874849337083165,38.0,37,0.0167738047408597,7.0,1.0,8.05201916495551,255,0.5,0.084931506849315,0.915068493150685,334,4.92,0.3333333333333333
609440305611256135,0.1001494768310911,78.0,78.0,113.0,39.0,1.0,2,0.0,14040.0,1.2692307692307692,1.0,1.2875,0.0311872237846524,49.5,13,0.0120530333467255,8.5,1.0,6.3874058863791925,180,0.0,0.3890410958904109,0.6109589041095891,223,4.84,0.3333333333333333
15072528,0.1704035874439461,125.0,125.0,62.5,31.25,6.0,4,2.0,22500.0,0.128,1.0,1.1842105263157894,0.2372940940136601,4.0,18,0.0095419847328244,1.25,3.0,13.256673511293634,180,0.5,0.4383561643835616,0.5616438356164384,205,4.94,0.032258064516129
20695687,0.2092675635276532,151.0,100.66666666666669,151.0,75.5,1.0,2,1.0,28237.0,2.251655629139073,1.5,1.0076923076923077,0.0052229811169144,170.0,44,0.013057452792286,0.5,1.0,12.210814510609172,187,0.5,0.3178082191780822,0.6821917808219178,249,4.91,0.3333333333333333
27188063,0.2032884902840059,147.0,147.0,73.5,24.5,3.0,6,2.0,37485.0,1.7006802721088434,1.0,1.3391812865497077,0.2494977902772197,41.666666666666664,14,0.0085877862595419,0.3333333333333333,1.5,10.428473648186174,255,0.3333333333333333,0.9068493150684932,0.0931506849315068,34,4.75,0.5
1431371928762383905,0.2451420029895366,175.0,175.0,175.0,50.0,2.0,2,1.0,12672.0,0.1371428571428571,1.0,1.5941176470588236,0.2494977902772197,12.0,14,0.0085375652872639,1.0,2.0,3.589322381930185,144,0.5,0.6986301369863014,0.3013698630136986,110,4.92,0.3333333333333333
1466642163287780372,0.1255605381165919,95.0,95.0,95.0,23.75,0.0,4,1.0,1140.0,0.0210526315789473,1.0,1.23963133640553,0.0708115709120128,0.5,51,0.010897950984331,5.0,0.0,0.5174537987679672,12,0.25,0.0657534246575342,0.9342465753424658,341,4.0,0.5
50770814,0.2571001494768311,183.0,183.0,91.5,30.5,3.0,6,2.0,46665.0,1.2185792349726776,1.0,1.0178571428571428,0.0419847328244274,37.166666666666664,12,0.0056247488951386,1.5,1.5,10.40930869267625,255,0.3333333333333333,0.0575342465753424,0.9424657534246575,344,4.74,0.3333333333333333
53959727,0.2645739910313901,188.0,125.33333333333331,94.0,31.333333333333332,2.0,6,2.0,47940.0,1.925531914893617,1.5,1.372093023255814,0.2494977902772197,60.333333333333336,14,0.00431900361591,2.1666666666666665,1.0,10.954140999315538,255,0.3333333333333333,0.7863013698630137,0.2136986301369863,78,4.75,0.3333333333333333
829185,0.656203288490284,450.0,450.0,225.0,112.5,3.0,4,2.0,84150.0,0.3866666666666666,1.0,1.1305970149253732,0.2494977902772197,43.5,14,0.0269184411410204,3.25,1.5,13.010266940451745,187,0.5,0.947945205479452,0.0520547945205479,19,4.83,0.25
1313126177599937657,0.3811659192825112,266.0,133.0,133.0,44.333333333333336,3.0,6,2.0,0.0,0.0,2.0,0.7483388704318937,0.2372940940136601,0.0,18,0.06046605062274,51.666666666666664,1.5,8.900752908966462,0,0.3333333333333333,0.8191780821917808,0.1808219178082191,66,4.79,0.3333333333333333
42914481,0.1360239162929745,102.0,102.0,102.0,51.0,1.0,2,1.0,1122.0,0.1470588235294117,1.0,1.072463768115942,0.0708115709120128,7.5,51,0.0242567296102852,3.5,1.0,6.072553045859,11,0.5,0.0410958904109589,0.958904109589041,350,4.6,0.5
1310586651296223308,0.1569506726457399,116.0,58.0,58.0,58.0,1.0,2,2.0,0.0,0.0,2.0,1.2432432432432432,0.0311872237846524,0.0,13,0.0018581759742868,1.5,0.5,8.83504449007529,0,1.0,0.2684931506849315,0.7315068493150685,267,4.79,0.3333333333333333
1458369929632265486,0.4260089686098655,296.0,296.0,296.0,98.66666666666669,1.0,3,1.0,0.0,0.0,1.0,0.99009900990099,0.0095419847328244,0.0,20,0.0101446364001607,734.0,1.0,10.702258726899384,0,0.3333333333333333,0.0,1.0,365,4.79,0.03125
860481581373039317,0.1106128550074738,85.0,85.0,85.0,42.5,1.0,2,1.0,15810.0,0.2470588235294117,1.0,1.1787709497206704,0.0874849337083165,10.5,37,0.0089895540377661,0.5,1.0,3.4086242299794662,186,0.5,0.0,1.0,365,4.57,0.03125
