price,accommodates,bedrooms,beds,latitude,longitude,city,host_is_superhost,host_identity_verified,host_response_time,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label,value_category
166.0,2,1.0,1.0,37.74409,-122.40846,San Francisco,1.0,1.0,within an hour,1.0,0,3,26,3,6,12,190,1.0,166.0,166.0,True,False,False,12,0.0419847328244274,0.013057452792286,9,Fair_Value
52.0,8,1.0,8.0,37.7937,-122.40417,San Francisco,1.0,1.0,within an hour,0.94,1,1,365,30,60,90,271,8.0,52.0,52.0,False,False,True,58,0.0025110486139011,0.0132583366813981,41,Excellent_Value
121.0,2,1.0,1.0,37.73711,-122.43525,San Francisco,1.0,1.0,within an hour,1.0,0,3,30,9,25,55,142,1.0,121.0,121.0,True,False,False,14,0.2494977902772197,0.002360385697067,44,Excellent_Value
86.0,1,2.0,1.0,37.75585,-122.42081,San Francisco,0.0,1.0,within an hour,1.0,0,30,360,29,59,89,364,0.5,43.0,43.0,False,True,False,40,0.0393230212936922,0.0269184411410204,69,Excellent_Value
175.0,2,1.0,2.0,37.77065,-122.44433,San Francisco,0.0,1.0,within an hour,1.0,0,30,30,0,0,0,0,2.0,175.0,175.0,True,False,False,18,0.2372940940136601,0.0124045801526717,48,Fair_Value
83.0,4,1.0,2.0,37.78408,-122.44436,San Francisco,1.0,1.0,within an hour,1.0,0,30,330,0,15,15,207,2.0,83.0,83.0,True,False,False,10,0.1206307754118119,0.0242567296102852,135,Excellent_Value
72.0,1,1.0,1.0,37.78353,-122.44369,San Francisco,0.0,1.0,within an hour,1.0,0,21,364,7,37,67,342,1.0,72.0,72.0,False,True,False,37,0.0874849337083165,0.0242567296102852,135,Excellent_Value
226.0,6,2.0,2.0,37.76114,-122.44929,San Francisco,0.0,1.0,within an hour,1.0,0,30,730,30,60,90,365,1.0,113.0,150.66666666666666,True,False,False,18,0.2372940940136601,0.0124045801526717,48,Poor_Value
66.0,1,1.0,1.0,37.79359,-122.42421,San Francisco,1.0,1.0,within an hour,1.0,0,30,120,1,31,61,151,1.0,66.0,44.0,False,True,False,40,0.0393230212936922,0.0075331458417034,93,Excellent_Value
175.0,4,3.0,2.0,37.76945,-122.42456,San Francisco,0.0,1.0,within an hour,1.0,0,4,14,0,0,0,0,0.6666666666666666,58.333333333333336,175.0,True,False,False,10,0.1206307754118119,0.0269184411410204,69,Fair_Value
175.0,1,1.0,2.0,37.75699,-122.4973,San Francisco,0.0,1.0,within an hour,1.0,0,45,730,0,0,0,0,2.0,175.0,175.0,False,True,False,37,0.0874849337083165,0.0167738047408597,91,Poor_Value
127.0,4,1.0,2.0,37.73241,-122.46432,San Francisco,1.0,1.0,within an hour,1.0,1,2,28,14,25,42,306,2.0,127.0,127.0,True,False,False,12,0.0419847328244274,0.0045701084773001,134,Excellent_Value
120.0,1,1.0,1.0,37.77117,-122.43292,San Francisco,0.0,1.0,within an hour,1.0,0,30,30,0,30,60,335,1.0,120.0,120.0,True,False,False,10,0.1206307754118119,0.0242567296102852,135,Excellent_Value
590.0,6,4.0,4.0,37.76317,-122.47029,San Francisco,0.0,1.0,within a few hours,1.0,0,7,365,21,26,49,292,1.0,147.5,236.0,True,False,False,14,0.2494977902772197,0.0073322619525914,51,Poor_Value
175.0,1,1.0,2.0,37.76555,-122.45213,San Francisco,1.0,1.0,within a few hours,1.0,0,32,90,30,60,90,365,2.0,175.0,43.75,False,True,False,40,0.0393230212936922,0.0124045801526717,48,Fair_Value
