price,accommodates,bedrooms,beds,latitude,longitude,host_is_superhost,host_identity_verified,host_response_rate,instant_bookable,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,space_efficiency,price_per_bedroom,price_per_bathroom,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_label,property_type_frequency,neighbourhood_frequency,neighbourhood_label
125.0,1,1.0,1.0,32.76007,-117.11557,0.0,1.0,1.0,0,31,1125,28,58,88,363,1.0,125.0,125.0,False,True,False,37,0.0874849337083165,0.0085877862595419,78
551.0,8,3.0,5.0,32.77313,-117.25108,1.0,1.0,1.0,1,2,75,0,0,0,71,1.6666666666666667,183.66666666666663,220.4,True,False,False,21,0.0186319807151466,0.0850743270389714,70
171.0,4,1.0,2.0,32.74706,-117.16316,1.0,1.0,1.0,0,2,1125,25,55,85,360,2.0,171.0,171.0,True,False,False,8,0.0071815990357573,0.0271193250301325,66
61.0,2,1.0,2.0,32.748979149628646,-117.12217974678816,0.0,1.0,0.5,0,31,365,30,60,90,270,2.0,61.0,61.0,False,True,False,25,0.0029128163921253,0.0085375652872639,18
65.0,2,1.0,1.0,32.69071,-117.10419,0.0,1.0,1.0,1,2,365,27,57,87,267,1.0,65.0,65.0,True,False,False,18,0.2372940940136601,0.0009039775010044,119
477.0,8,4.0,4.0,32.73565,-117.17301,1.0,1.0,1.0,1,1,365,13,27,40,258,1.0,119.25,190.8,True,False,False,14,0.2494977902772197,0.0271193250301325,66
123.0,4,1.0,1.0,32.70849,-117.1504,0.0,1.0,1.0,1,31,365,23,53,83,358,1.0,123.0,123.0,True,False,False,18,0.2372940940136601,0.0264664523905182,31
157.0,4,1.0,1.0,32.72003,-117.16758,1.0,1.0,1.0,0,1,28,5,14,27,104,1.0,157.0,157.0,True,False,False,16,0.0068300522298111,0.0037665729208517,21
73.0,4,1.0,2.0,37.71481,-122.46782,0.0,0.0,1.0,0,2,12,16,46,76,256,2.0,73.0,73.0,True,False,False,12,0.0419847328244274,0.0056247488951386,86
130.0,2,1.0,1.0,37.77907,-122.42324,1.0,1.0,1.0,0,2,6,2,2,2,2,1.0,130.0,130.0,True,False,False,18,0.2372940940136601,0.06046605062274,29
158.0,2,0.0,1.0,37.7787601,-122.4222545,0.0,1.0,1.0,0,2,365,23,45,75,221,1.0,113.0,158.0,True,False,False,10,0.1206307754118119,0.06046605062274,29
175.0,2,2.0,2.0,32.72281,-117.1677,0.0,0.0,1.0,0,91,365,0,0,0,51,1.0,87.5,87.5,True,False,False,10,0.1206307754118119,0.0111992768179991,61
85.0,1,1.0,1.0,32.73395,-117.10226,1.0,1.0,1.0,0,31,1125,0,0,0,0,1.0,85.0,85.0,True,False,False,12,0.0419847328244274,0.0085375652872639,18
84.0,2,1.0,0.0,32.7487226,-117.1328634,0.0,1.0,1.0,0,31,365,0,23,53,328,0.0,84.0,84.0,True,False,False,18,0.2372940940136601,0.0276717557251908,82
51.0,2,1.0,1.0,37.80074,-122.40874,0.0,1.0,0.99,0,30,365,0,0,0,168,1.0,51.0,25.5,False,True,False,40,0.0393230212936922,0.0116010445962233,79
175.0,4,1.0,2.0,32.73852,-117.15979,1.0,1.0,0.97,0,31,1125,27,57,87,362,2.0,175.0,175.0,True,False,False,10,0.1206307754118119,0.0271193250301325,66
481.0,12,3.0,8.0,32.76769,-117.25175,0.0,1.0,1.0,1,2,29,10,31,57,234,2.6666666666666665,160.33333333333334,192.4,True,False,False,14,0.2494977902772197,0.0850743270389714,70
239.0,2,1.0,1.0,32.759971618652344,-117.24878692626952,0.0,1.0,1.0,1,3,1125,11,31,58,301,1.0,239.0,239.0,True,False,False,10,0.1206307754118119,0.0850743270389714,70
116.0,4,1.0,2.0,32.72161,-117.16576,0.0,1.0,1.0,1,1,365,20,50,80,355,2.0,116.0,116.0,True,False,False,14,0.2494977902772197,0.0111992768179991,61
133.0,2,1.0,1.0,32.71691,-117.14377,0.0,1.0,0.78,0,1,365,25,51,81,119,1.0,133.0,133.0,False,True,False,51,0.0708115709120128,0.0120530333467255,3
210.0,4,2.0,2.0,37.72836,-122.45101,1.0,1.0,1.0,0,1,7,10,33,58,58,1.0,105.0,210.0,True,False,False,14,0.2494977902772197,0.0067798312575331,89
91.0,2,1.0,1.0,37.71285,-122.45034,0.0,1.0,1.0,1,2,365,22,52,82,357,1.0,91.0,91.0,False,True,False,37,0.0874849337083165,0.0067798312575331,89
175.0,16,4.0,2.0,32.77158,-117.24635,0.0,1.0,1.0,1,1,1125,23,53,83,358,0.5,43.75,43.75,False,True,False,51,0.0708115709120128,0.0850743270389714,70
66.0,2,1.0,1.0,32.7993,-117.18648,0.0,0.0,1.0,0,31,200,29,59,89,97,1.0,66.0,66.0,False,True,False,26,0.0009039775010044,0.0089895540377661,19
